priority,code,entity_type,entity_id,name,detail
medium,summary_under_180,chapter,ch-022,第22話 幼魚と逆罰―肆―,169字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-024,第24話 幼魚と逆罰―陸―,177字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-025,第25話 固陋蠢愚,179字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-027,第27話 もしも,152字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-028,第28話 殺してやる,173字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-032,第32話 反省,170字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-034,第34話 京都姉妹校交流会―団体戦①―,167字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-035,第35話 京都姉妹校交流会―団体戦②―,172字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-036,第36話 京都姉妹校交流会―団体戦③―,179字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-037,第37話 京都姉妹校交流会―団体戦④―,176字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-038,第38話 京都姉妹校交流会―団体戦⑤―,170字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-043,第43話 京都姉妹校交流会―団体戦⑩―,179字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-045,第45話 賢者,178字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-048,第48話 黒閃,179字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-068,第68話 懐玉―肆―,164字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-072,第72話 懐玉―捌―,174字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-086,第86話 渋谷事変④,179字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-088,第88話 渋谷事変⑥,176字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-098,第98話 渋谷事変⑯,144字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-099,第99話 渋谷事変⑰,126字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-100,第100話 渋谷事変⑱,149字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-101,第101話 渋谷事変⑲,142字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-102,第102話 渋谷事変⑳,148字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-103,第103話 渋谷事変㉑,147字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-104,第104話 渋谷事変㉒,148字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-105,第105話 渋谷事変㉓,161字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-106,第106話 渋谷事変㉔,158字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-107,第107話 渋谷事変㉕,141字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-108,第108話 渋谷事変㉖,155字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-109,第109話 渋谷事変㉗,149字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-110,第110話 渋谷事変㉘,136字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-111,第111話 渋谷事変㉙,159字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-112,第112話 渋谷事変㉚,167字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-113,第113話 渋谷事変㉛,164字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-114,第114話 渋谷事変㉜,145字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-115,第115話 渋谷事変㉝,152字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-116,第116話 渋谷事変㉞,167字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-117,第117話 渋谷事変㉟,168字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-118,第118話 渋谷事変㊱,175字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-121,第121話 渋谷事変㊴,159字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-122,第122話 渋谷事変㊵,159字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-123,第123話 渋谷事変㊶,165字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-124,第124話 渋谷事変㊷,166字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-126,第126話 渋谷事変㊸,176字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-127,第127話 渋谷事変㊹,168字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-128,第128話 渋谷事変㊺,177字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-129,第129話 渋谷事変㊻,174字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-131,第131話 渋谷事変㊽,167字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-133,第133話 渋谷事変㊿,179字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-135,第135話 渋谷事変(52),178字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-137,第137話 堅白,179字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-139,第139話 狩人,159字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-140,第140話 執行,173字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-141,第141話 うしろのしょうめん,172字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-157,第157話 部品,176字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-159,第159話 裁き,163字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-160,第160話 結界,161字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-161,第161話 東京第１結界①,142字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-162,第162話 東京第１結界②,156字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-163,第163話 東京第１結界③,149字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-164,第164話 東京第１結界④,155字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-165,第165話 東京第１結界⑤,150字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-166,第166話 東京第１結界⑥,151字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-167,第167話 東京第１結界⑦,166字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-168,第168話 東京第１結界⑧,157字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-169,第169話 東京第１結界⑨,161字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-170,第170話 東京第１結界⑩,153字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-171,第171話 東京第１結界⑪,169字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-172,第172話 東京第１結界⑫,160字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-173,第173話 東京第１結界⑬,171字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-175,第175話 仙台結界②,167字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-176,第176話 仙台結界③,163字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-177,第177話 仙台結界④,162字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-178,第178話 仙台結界⑤,161字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-179,第179話 仙台結界⑥,160字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-180,第180話 仙台結界⑦,167字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-181,第181話 東京第２結界①,167字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-182,第182話 東京第２結界②,171字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-183,第183話 東京第２結界③,166字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-184,第184話 東京第２結界④,153字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-185,第185話 バイバイ,157字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-186,第186話 東京第２結界⑤,158字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-187,第187話 東京第２結界⑥,170字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-188,第188話 東京第２結界⑦,171字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-189,第189話 東京第２結界⑧,158字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-190,第190話 東京第２結界⑨,168字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-191,第191話 桜島結界①,161字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-192,第192話 桜島結界②,164字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-193,第193話 桜島結界③,159字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-194,第194話 桜島結界④,170字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-195,第195話 桜島結界⑤,164字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-196,第196話 桜島結界⑥,167字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-197,第197話 桜島結界⑦,156字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-198,第198話 桜島結界⑧,158字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-199,第199話 仇名,167字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-200,第200話 直接会談①,176字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-201,第201話 直接会談②,172字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-202,第202話 血と油①,165字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-203,第203話 血と油②,154字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-204,第204話 血と油③,164字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-205,第205話 星と油①,176字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-206,第206話 星と油②,178字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-207,第207話 星と油③,166字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-209,第209話 未知への供物①,172字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-210,第210話 未知への供物②,175字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-213,第213話 呪胎戴天-伍-,172字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-214,第214話 呪胎戴天-陸-,156字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-215,第215話 呪胎戴天-漆-,176字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-216,第216話 浴①,133字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-217,第217話 浴②,148字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-218,第218話 浴③,124字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-219,第219話 浴④,123字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-220,第220話 自浄自縛,141字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-221,第221話 得喪,132字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-222,第222話 予兆,122字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-223,第223話 人外魔境新宿決戦①,139字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-224,第224話 人外魔境新宿決戦②,138字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-225,第225話 人外魔境新宿決戦③,128字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-226,第226話 人外魔境新宿決戦④,135字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-227,第227話 人外魔境新宿決戦⑤,128字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-228,第228話 人外魔境新宿決戦⑥,134字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-229,第229話 人外魔境新宿決戦⑦,130字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-230,第230話 人外魔境新宿決戦⑧,139字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-231,第231話 人外魔境新宿決戦⑨,120字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-232,第232話 人外魔境新宿決戦⑩,131字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-233,第233話 人外魔境新宿決戦⑪,141字。初期方針の300～600字より短い。
medium,summary_under_180,chapter,ch-234,第234話 人外魔境新宿決戦⑫,138字。初期方針の300～600字より短い。
